	CUSTOM.date [local]	CUSTOM.updateTime [local]	OSD.flyTime	OSD.flyTime [s]	OSD.latitude	OSD.longitude	OSD.height [ft]	OSD.pitch	OSD.roll	OSD.yaw	OSD.yaw [360]	GIMBAL.mode	GIMBAL.pitch	GIMBAL.roll	GIMBAL.yaw	GIMBAL.yaw [360]	DETAILS.videoTime [s]
0	3/1/2024	7:43:28.59 AM	1m 41.4s	101.4	-2.53697576690511	-44.2792379037978	0	3.9	1.3	-52.1	307.9	Free	0	0	0	0	30
1	3/1/2024	7:43:28.69 AM	1m 41.5s	101.5	-2.53697577046641	-44.2792379196194	0	3.9	1.3	-52.1	307.9	Free	0	0	0	0	30
2	3/1/2024	7:43:28.79 AM	1m 41.6s	101.6	-2.53697578542001	-44.2792379370531	0	3.9	1.3	-52.1	307.9	Free	0	0	0	0	30
3	3/1/2024	7:43:28.90 AM	1m 41.7s	101.7	-2.5369758154074	-44.2792379704328	0	3.9	1.3	-52.1	307.9	Follow Yaw	0	0	-56	304	30
4	3/1/2024	7:43:29.00 AM	1m 41.8s	101.8	-2.53697584573808	-44.279238009142	0	3.8	1.3	-52.2	307.8	Follow Yaw	0	0	-56	304	30
5	3/1/2024	7:43:29.10 AM	1m 41.9s	101.9	-2.53697586262454	-44.279238053078	0	3.8	1.3	-52.2	307.8	Follow Yaw	0	0	-55.9	304.1	30
6	3/1/2024	7:43:29.20 AM	1m 42.0s	102.0	-2.53697587656463	-44.2792380889188	0	3.8	1.3	-52.1	307.9	Follow Yaw	0	0	-55.9	304.1	30
7	3/1/2024	7:43:29.30 AM	1m 42.1s	102.1	-2.53697588392123	-44.279238111337	0	3.8	1.3	-52.1	307.9	Follow Yaw	0	0	-55.9	304.1	30
8	3/1/2024	7:43:29.41 AM	1m 42.2s	102.2	-2.5369758860153	-44.2792381361605	0	3.8	1.3	-52.1	307.9	Follow Yaw	0	0	-55.9	304.1	30
9	3/1/2024	7:43:29.51 AM	1m 42.3s	102.3	-2.53697588694402	-44.279238173815	0	3.8	1.3	-52.1	307.9	Follow Yaw	0	0	-55.9	304.1	30
10	3/1/2024	7:43:29.61 AM	1m 42.4s	102.4	-2.53697588356276	-44.2792382157486	0	3.7	1.3	-52.1	307.9	Follow Yaw	0	0	-55.9	304.1	30
11	3/1/2024	7:43:29.72 AM	1m 42.5s	102.5	-2.53697588192882	-44.279238262746	0	3.8	1.3	-52.1	307.9	Follow Yaw	0	0	-55.9	304.1	30
12	3/1/2024	7:43:29.82 AM	1m 42.6s	102.6	-2.53697587632321	-44.2792382997466	0	3.8	1.3	-52.1	307.9	Follow Yaw	0	0	-55.9	304.1	30
13	3/1/2024	7:43:29.92 AM	1m 42.7s	102.7	-2.53697587371526	-44.2792383219997	0	3.8	1.3	-52.1	307.9	Follow Yaw	0	0	-54.6	305.4	30
